timestamp,type,value
2025-06-09 12:16:40.039,Raw EEG,29
2025-06-09 12:16:40.043,Raw EEG,29
2025-06-09 12:16:40.047,Raw EEG,29
2025-06-09 12:16:40.052,Raw EEG,28
2025-06-09 12:16:40.056,Raw EEG,28
2025-06-09 12:16:40.062,Raw EEG,29
2025-06-09 12:16:40.065,Raw EEG,32
2025-06-09 12:16:40.069,Raw EEG,32
2025-06-09 12:16:40.073,Raw EEG,29
2025-06-09 12:16:40.076,Raw EEG,29
2025-06-09 12:16:40.080,Raw EEG,29
2025-06-09 12:16:40.084,Raw EEG,29
2025-06-09 12:16:40.088,Raw EEG,29
2025-06-09 12:16:40.092,Raw EEG,32
2025-06-09 12:16:40.096,Raw EEG,29
2025-06-09 12:16:40.099,Raw EEG,28
2025-06-09 12:16:40.104,Raw EEG,29
2025-06-09 12:16:40.108,Raw EEG,29
2025-06-09 12:16:40.111,Raw EEG,29
2025-06-09 12:16:40.114,Raw EEG,29
2025-06-09 12:16:40.117,Raw EEG,29
2025-06-09 12:16:40.120,Raw EEG,29
2025-06-09 12:16:40.123,Raw EEG,28
2025-06-09 12:16:40.125,Raw EEG,28
2025-06-09 12:16:40.128,Raw EEG,29
2025-06-09 12:16:40.131,Raw EEG,29
2025-06-09 12:16:40.133,Raw EEG,28
2025-06-09 12:16:40.137,Raw EEG,28
2025-06-09 12:16:40.140,Raw EEG,28
2025-06-09 12:16:40.142,Raw EEG,28
2025-06-09 12:16:40.145,Raw EEG,28
2025-06-09 12:16:40.148,Raw EEG,29
2025-06-09 12:16:40.151,Raw EEG,29
2025-06-09 12:16:40.154,Raw EEG,29
2025-06-09 12:16:40.158,Raw EEG,28
2025-06-09 12:16:40.161,Raw EEG,28
2025-06-09 12:16:40.165,Raw EEG,28
2025-06-09 12:16:40.168,Raw EEG,28
2025-06-09 12:16:40.172,Raw EEG,28
2025-06-09 12:16:40.175,Raw EEG,29
2025-06-09 12:16:40.178,Raw EEG,28
2025-06-09 12:16:40.181,Raw EEG,29
2025-06-09 12:16:40.184,Raw EEG,29
2025-06-09 12:16:40.188,Raw EEG,29
2025-06-09 12:16:40.191,Raw EEG,29
2025-06-09 12:16:40.194,Raw EEG,28
2025-06-09 12:16:40.198,Raw EEG,28
2025-06-09 12:16:40.200,Raw EEG,28
2025-06-09 12:16:40.204,Raw EEG,28
2025-06-09 12:16:40.207,Raw EEG,28
2025-06-09 12:16:40.210,Raw EEG,28
2025-06-09 12:16:40.214,Raw EEG,28
2025-06-09 12:16:40.217,Raw EEG,28
2025-06-09 12:16:40.220,Raw EEG,29
2025-06-09 12:16:40.223,Raw EEG,28
2025-06-09 12:16:40.226,Raw EEG,28
2025-06-09 12:16:40.229,Raw EEG,29
2025-06-09 12:16:40.232,Raw EEG,29
2025-06-09 12:16:40.236,Raw EEG,29
2025-06-09 12:16:40.239,Raw EEG,29
2025-06-09 12:16:40.242,Raw EEG,29
2025-06-09 12:16:40.245,Raw EEG,29
2025-06-09 12:16:40.248,Raw EEG,28
2025-06-09 12:16:40.251,Raw EEG,28
2025-06-09 12:16:40.255,Raw EEG,29
2025-06-09 12:16:40.258,Raw EEG,29
2025-06-09 12:16:40.260,Raw EEG,28
2025-06-09 12:16:40.264,Raw EEG,28
2025-06-09 12:16:40.267,Raw EEG,28
2025-06-09 12:16:40.271,Raw EEG,29
2025-06-09 12:16:40.274,Raw EEG,29
2025-06-09 12:16:40.277,Raw EEG,29
2025-06-09 12:16:40.280,Raw EEG,28
2025-06-09 12:16:40.283,Raw EEG,29
2025-06-09 12:16:40.288,Raw EEG,29
2025-06-09 12:16:40.291,Raw EEG,29
2025-06-09 12:16:40.293,Raw EEG,28
2025-06-09 12:16:40.296,Raw EEG,29
2025-06-09 12:16:40.299,Raw EEG,29
2025-06-09 12:16:40.303,Raw EEG,29
2025-06-09 12:16:40.307,Raw EEG,29
2025-06-09 12:16:40.309,Raw EEG,32
2025-06-09 12:16:40.312,Raw EEG,29
2025-06-09 12:16:40.315,Raw EEG,32
2025-06-09 12:16:40.320,Raw EEG,32
2025-06-09 12:16:40.323,Raw EEG,29
2025-06-09 12:16:40.327,Raw EEG,29
2025-06-09 12:16:40.330,Raw EEG,28
2025-06-09 12:16:40.333,Raw EEG,28
2025-06-09 12:16:40.337,Raw EEG,28
2025-06-09 12:16:40.340,Raw EEG,28
2025-06-09 12:16:40.343,Raw EEG,29
2025-06-09 12:16:40.346,Raw EEG,29
2025-06-09 12:16:40.349,Raw EEG,29
2025-06-09 12:16:40.353,Raw EEG,29
2025-06-09 12:16:40.356,Raw EEG,28
2025-06-09 12:16:40.359,Raw EEG,29
2025-06-09 12:16:40.363,Raw EEG,29
2025-06-09 12:16:40.366,Raw EEG,29
2025-06-09 12:16:40.370,Raw EEG,29
2025-06-09 12:16:40.373,Raw EEG,29
2025-06-09 12:16:40.376,Raw EEG,29
2025-06-09 12:16:40.379,Raw EEG,29
2025-06-09 12:16:40.383,Raw EEG,32
2025-06-09 12:16:40.387,Raw EEG,32
2025-06-09 12:16:40.390,Raw EEG,32
2025-06-09 12:16:40.394,Raw EEG,32
2025-06-09 12:16:40.400,Raw EEG,32
2025-06-09 12:16:40.406,Raw EEG,29
2025-06-09 12:16:40.410,Raw EEG,29
2025-06-09 12:16:40.414,Raw EEG,29
2025-06-09 12:16:40.418,Raw EEG,29
2025-06-09 12:16:40.422,Raw EEG,29
2025-06-09 12:16:40.426,Raw EEG,29
2025-06-09 12:16:40.433,Raw EEG,29
2025-06-09 12:16:40.437,Raw EEG,29
2025-06-09 12:16:40.441,Raw EEG,29
2025-06-09 12:16:40.444,Raw EEG,29
2025-06-09 12:16:40.447,Raw EEG,29
2025-06-09 12:16:40.450,Raw EEG,28
2025-06-09 12:16:40.453,Raw EEG,29
2025-06-09 12:16:40.457,Raw EEG,29
2025-06-09 12:16:40.460,Raw EEG,29
2025-06-09 12:16:40.463,Raw EEG,29
2025-06-09 12:16:40.466,Raw EEG,29
2025-06-09 12:16:40.471,Raw EEG,29
2025-06-09 12:16:40.473,Raw EEG,29
2025-06-09 12:16:40.476,Raw EEG,29
2025-06-09 12:16:40.478,Raw EEG,29
2025-06-09 12:16:40.481,Raw EEG,29
2025-06-09 12:16:40.483,Raw EEG,32
2025-06-09 12:16:40.488,Raw EEG,29
2025-06-09 12:16:40.492,Raw EEG,29
2025-06-09 12:16:40.494,Raw EEG,29
2025-06-09 12:16:40.497,Raw EEG,29
2025-06-09 12:16:40.499,Raw EEG,32
2025-06-09 12:16:40.503,Raw EEG,29
2025-06-09 12:16:40.507,Raw EEG,32
2025-06-09 12:16:40.510,Raw EEG,32
2025-06-09 12:16:40.513,Raw EEG,29
2025-06-09 12:16:40.516,Raw EEG,32
2025-06-09 12:16:40.520,Raw EEG,32
2025-06-09 12:16:40.522,Raw EEG,29
2025-06-09 12:16:40.525,Raw EEG,29
2025-06-09 12:16:40.528,Raw EEG,32
2025-06-09 12:16:40.531,Raw EEG,32
2025-06-09 12:16:40.533,Raw EEG,29
2025-06-09 12:16:40.537,Raw EEG,29
2025-06-09 12:16:40.540,Raw EEG,32
2025-06-09 12:16:40.543,Raw EEG,32
2025-06-09 12:16:40.545,Raw EEG,29
2025-06-09 12:16:40.548,Raw EEG,29
2025-06-09 12:16:40.551,Raw EEG,32
2025-06-09 12:16:40.555,Raw EEG,32
2025-06-09 12:16:40.558,Raw EEG,32
2025-06-09 12:16:40.561,Raw EEG,32
2025-06-09 12:16:40.563,Raw EEG,32
2025-06-09 12:16:40.566,Raw EEG,32
2025-06-09 12:16:40.569,Raw EEG,32
2025-06-09 12:16:40.572,Raw EEG,32
2025-06-09 12:16:40.575,Raw EEG,29
2025-06-09 12:16:40.577,Raw EEG,29
2025-06-09 12:16:40.579,Raw EEG,29
2025-06-09 12:16:40.582,Raw EEG,29
2025-06-09 12:16:40.586,Raw EEG,29
2025-06-09 12:16:40.588,Raw EEG,29
2025-06-09 12:16:40.591,Raw EEG,29
2025-06-09 12:16:40.593,Raw EEG,29
2025-06-09 12:16:40.596,Raw EEG,29
2025-06-09 12:16:40.598,Raw EEG,28
2025-06-09 12:16:40.601,Raw EEG,29
2025-06-09 12:16:40.604,Raw EEG,29
2025-06-09 12:16:40.607,Raw EEG,29
2025-06-09 12:16:40.610,Raw EEG,32
2025-06-09 12:16:40.613,Raw EEG,29
2025-06-09 12:16:40.616,Raw EEG,29
2025-06-09 12:16:40.620,Raw EEG,29
2025-06-09 12:16:40.622,Raw EEG,32
2025-06-09 12:16:40.625,Raw EEG,29
2025-06-09 12:16:40.628,Raw EEG,29
2025-06-09 12:16:40.630,Raw EEG,29
2025-06-09 12:16:40.633,Raw EEG,29
2025-06-09 12:16:40.636,Raw EEG,28
2025-06-09 12:16:40.640,Raw EEG,28
2025-06-09 12:16:40.643,Raw EEG,29
2025-06-09 12:16:40.646,Raw EEG,29
2025-06-09 12:16:40.650,Raw EEG,29
2025-06-09 12:16:40.654,Raw EEG,29
2025-06-09 12:16:40.657,Raw EEG,29
2025-06-09 12:16:40.662,Raw EEG,32
2025-06-09 12:16:40.665,Raw EEG,32
2025-06-09 12:16:40.669,Raw EEG,29
2025-06-09 12:16:40.674,Raw EEG,29
2025-06-09 12:16:40.678,Raw EEG,29
2025-06-09 12:16:40.682,Raw EEG,29
2025-06-09 12:16:40.688,Raw EEG,29
2025-06-09 12:16:40.692,Raw EEG,32
2025-06-09 12:16:40.696,Raw EEG,32
2025-06-09 12:16:40.703,Raw EEG,32
2025-06-09 12:16:40.710,Raw EEG,32
2025-06-09 12:16:40.714,Raw EEG,32
2025-06-09 12:16:40.718,Raw EEG,29
2025-06-09 12:16:40.724,Raw EEG,29
2025-06-09 12:16:40.728,Raw EEG,29
2025-06-09 12:16:40.732,Raw EEG,29
2025-06-09 12:16:40.737,Raw EEG,29
2025-06-09 12:16:40.740,Raw EEG,29
2025-06-09 12:16:40.744,Raw EEG,29
2025-06-09 12:16:40.750,Raw EEG,32
2025-06-09 12:16:40.754,Raw EEG,32
2025-06-09 12:16:40.758,Raw EEG,32
2025-06-09 12:16:40.760,Raw EEG,29
2025-06-09 12:16:40.763,Raw EEG,29
2025-06-09 12:16:40.766,Raw EEG,32
2025-06-09 12:16:40.769,Raw EEG,29
2025-06-09 12:16:40.772,Raw EEG,29
2025-06-09 12:16:40.774,Raw EEG,29
2025-06-09 12:16:40.777,Raw EEG,29
2025-06-09 12:16:40.780,Raw EEG,29
2025-06-09 12:16:40.783,Raw EEG,29
2025-06-09 12:16:40.786,Raw EEG,32
2025-06-09 12:16:40.789,Raw EEG,29
2025-06-09 12:16:40.792,Raw EEG,29
2025-06-09 12:16:40.795,Raw EEG,32
2025-06-09 12:16:40.798,Raw EEG,32
2025-06-09 12:16:40.801,Raw EEG,32
2025-06-09 12:16:40.804,Raw EEG,32
