timestamp,type,value
2025-06-09 12:18:47.739,Raw EEG,28
2025-06-09 12:18:47.748,Raw EEG,28
2025-06-09 12:18:47.791,Raw EEG,29
2025-06-09 12:18:47.839,Raw EEG,28
2025-06-09 12:18:47.842,Raw EEG,28
2025-06-09 12:18:47.848,Raw EEG,28
2025-06-09 12:18:47.851,Raw EEG,29
2025-06-09 12:18:47.860,Raw EEG,29
2025-06-09 12:18:47.886,Raw EEG,28
2025-06-09 12:18:47.889,Raw EEG,28
2025-06-09 12:18:47.892,Raw EEG,28
2025-06-09 12:18:47.895,Raw EEG,28
2025-06-09 12:18:47.900,Raw EEG,28
2025-06-09 12:18:47.904,Raw EEG,28
2025-06-09 12:18:47.906,Raw EEG,28
2025-06-09 12:18:47.909,Raw EEG,28
2025-06-09 12:18:47.913,Raw EEG,28
2025-06-09 12:18:47.917,Raw EEG,28
2025-06-09 12:18:47.920,Raw EEG,28
2025-06-09 12:18:47.923,Raw EEG,28
2025-06-09 12:18:47.926,Raw EEG,28
2025-06-09 12:18:47.929,Raw EEG,28
2025-06-09 12:18:47.937,Raw EEG,28
2025-06-09 12:18:47.940,Raw EEG,28
2025-06-09 12:18:47.942,Raw EEG,28
2025-06-09 12:18:47.945,Raw EEG,28
2025-06-09 12:18:47.950,Raw EEG,28
2025-06-09 12:18:47.955,Raw EEG,28
2025-06-09 12:18:47.958,Raw EEG,28
2025-06-09 12:18:47.961,Raw EEG,28
2025-06-09 12:18:47.969,Raw EEG,28
2025-06-09 12:18:47.972,Raw EEG,28
2025-06-09 12:18:47.975,Raw EEG,28
2025-06-09 12:18:47.978,Raw EEG,28
2025-06-09 12:18:47.982,Raw EEG,28
2025-06-09 12:18:47.987,Raw EEG,28
2025-06-09 12:18:47.990,Raw EEG,28
2025-06-09 12:18:47.993,Raw EEG,27
2025-06-09 12:18:48.000,Raw EEG,27
2025-06-09 12:18:48.004,Raw EEG,28
2025-06-09 12:18:48.008,Raw EEG,28
2025-06-09 12:18:48.011,Raw EEG,28
2025-06-09 12:18:48.016,Raw EEG,28
2025-06-09 12:18:48.020,Raw EEG,28
2025-06-09 12:18:48.024,Raw EEG,28
2025-06-09 12:18:48.027,Raw EEG,28
2025-06-09 12:18:48.033,Raw EEG,28
2025-06-09 12:18:48.037,Raw EEG,27
2025-06-09 12:18:48.040,Raw EEG,28
2025-06-09 12:18:48.043,Raw EEG,28
2025-06-09 12:18:48.047,Raw EEG,28
2025-06-09 12:18:48.052,Raw EEG,28
2025-06-09 12:18:48.055,Raw EEG,28
2025-06-09 12:18:48.058,Raw EEG,28
2025-06-09 12:18:48.066,Raw EEG,28
2025-06-09 12:18:48.070,Raw EEG,27
2025-06-09 12:18:48.073,Raw EEG,28
2025-06-09 12:18:48.077,Raw EEG,28
2025-06-09 12:18:48.081,Raw EEG,28
2025-06-09 12:18:48.085,Raw EEG,27
2025-06-09 12:18:48.090,Raw EEG,27
2025-06-09 12:18:48.094,Raw EEG,27
2025-06-09 12:18:48.103,Raw EEG,27
2025-06-09 12:18:48.107,Raw EEG,27
2025-06-09 12:18:48.115,Raw EEG,28
2025-06-09 12:18:48.120,Raw EEG,27
2025-06-09 12:18:48.123,Raw EEG,27
2025-06-09 12:18:48.125,Raw EEG,27
2025-06-09 12:18:48.129,Raw EEG,28
2025-06-09 12:18:48.142,Raw EEG,28
2025-06-09 12:18:48.147,Raw EEG,28
2025-06-09 12:18:48.154,Raw EEG,28
2025-06-09 12:18:48.159,Raw EEG,28
2025-06-09 12:18:48.164,Raw EEG,28
2025-06-09 12:18:48.172,Raw EEG,28
2025-06-09 12:18:48.175,Raw EEG,28
2025-06-09 12:18:48.179,Raw EEG,28
2025-06-09 12:18:48.186,Raw EEG,28
2025-06-09 12:18:48.190,Raw EEG,28
2025-06-09 12:18:48.194,Raw EEG,28
2025-06-09 12:18:48.206,Raw EEG,28
2025-06-09 12:18:48.210,Raw EEG,28
2025-06-09 12:18:48.217,Raw EEG,28
2025-06-09 12:18:48.222,Raw EEG,27
2025-06-09 12:18:48.225,Raw EEG,28
2025-06-09 12:18:48.236,Raw EEG,28
2025-06-09 12:18:48.240,Raw EEG,29
2025-06-09 12:18:48.243,Raw EEG,28
2025-06-09 12:18:48.249,Raw EEG,28
2025-06-09 12:18:48.253,Raw EEG,28
2025-06-09 12:18:48.256,Raw EEG,28
2025-06-09 12:18:48.259,Raw EEG,28
2025-06-09 12:18:48.268,Raw EEG,28
2025-06-09 12:18:48.274,Raw EEG,28
2025-06-09 12:18:48.278,Raw EEG,28
2025-06-09 12:18:48.285,Raw EEG,28
2025-06-09 12:18:48.289,Raw EEG,28
2025-06-09 12:18:48.292,Raw EEG,28
2025-06-09 12:18:48.297,Raw EEG,28
2025-06-09 12:18:48.303,Raw EEG,28
2025-06-09 12:18:48.306,Raw EEG,28
2025-06-09 12:18:48.309,Raw EEG,28
2025-06-09 12:18:48.314,Raw EEG,28
2025-06-09 12:18:48.319,Raw EEG,28
2025-06-09 12:18:48.322,Raw EEG,28
2025-06-09 12:18:48.325,Raw EEG,28
2025-06-09 12:18:48.329,Raw EEG,28
2025-06-09 12:18:48.338,Raw EEG,28
2025-06-09 12:18:48.343,Raw EEG,28
2025-06-09 12:18:48.349,Raw EEG,28
2025-06-09 12:18:48.355,Raw EEG,28
2025-06-09 12:18:48.358,Raw EEG,28
2025-06-09 12:18:48.361,Raw EEG,27
2025-06-09 12:18:48.371,Raw EEG,27
2025-06-09 12:18:48.375,Raw EEG,27
2025-06-09 12:18:48.378,Raw EEG,28
2025-06-09 12:18:48.384,Raw EEG,28
2025-06-09 12:18:48.388,Raw EEG,28
2025-06-09 12:18:48.391,Raw EEG,28
2025-06-09 12:18:48.395,Raw EEG,28
2025-06-09 12:18:48.409,Raw EEG,28
2025-06-09 12:18:48.413,Raw EEG,28
2025-06-09 12:18:48.419,Raw EEG,28
2025-06-09 12:18:48.424,Raw EEG,28
2025-06-09 12:18:48.428,Raw EEG,28
2025-06-09 12:18:48.436,Raw EEG,28
2025-06-09 12:18:48.440,Raw EEG,28
2025-06-09 12:18:48.443,Raw EEG,28
2025-06-09 12:18:48.450,Raw EEG,29
2025-06-09 12:18:48.455,Raw EEG,28
2025-06-09 12:18:48.459,Raw EEG,28
2025-06-09 12:18:48.468,Raw EEG,28
2025-06-09 12:18:48.472,Raw EEG,28
2025-06-09 12:18:48.477,Raw EEG,28
2025-06-09 12:18:48.483,Raw EEG,28
2025-06-09 12:18:48.488,Raw EEG,29
2025-06-09 12:18:48.492,Raw EEG,28
2025-06-09 12:18:48.501,Raw EEG,28
2025-06-09 12:18:48.504,Raw EEG,28
2025-06-09 12:18:48.507,Raw EEG,28
2025-06-09 12:18:48.510,Raw EEG,29
2025-06-09 12:18:48.517,Raw EEG,28
2025-06-09 12:18:48.521,Raw EEG,28
